cellLine	randomSeed	parameterTested	boolFeatureSelection	accuracy	sensitivity	specificity	mcc
PC3	2	71	False	0.673684210526	0.691011235955	0.416666666667	0.056348182237
PC3	3	71	False	0.684210526316	0.696629213483	0.5	0.102896680607
PC3	4	71	False	0.678947368421	0.697142857143	0.466666666667	0.0950290746589
PC3	0	76	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	1	76	False	0.678947368421	0.699421965318	0.470588235294	0.104393916407
PC3	2	76	False	0.673684210526	0.691011235955	0.416666666667	0.056348182237
PC3	3	76	False	0.684210526316	0.696629213483	0.5	0.102896680607
PC3	4	76	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	0	81	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	1	81	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	2	81	False	0.684210526316	0.694444444444	0.5	0.0934080897196
PC3	3	81	False	0.689473684211	0.698324022346	0.545454545455	0.122481664009
PC3	4	81	False	0.678947368421	0.694915254237	0.461538461538	0.0849761185752
PC3	0	86	False	0.663157894737	0.689655172414	0.375	0.0386269651968
PC3	1	86	False	0.673684210526	0.695402298851	0.4375	0.0793998729046
PC3	2	86	False	0.668421052632	0.689265536723	0.384615384615	0.0401276115494
PC3	3	86	False	0.694736842105	0.7	0.6	0.144115338425
PC3	4	86	False	0.673684210526	0.693181818182	0.428571428571	0.0684311126814
PC3	0	91	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	1	91	False	0.673684210526	0.693181818182	0.428571428571	0.0684311126814
PC3	2	91	False	0.689473684211	0.698324022346	0.545454545455	0.122481664009
PC3	3	91	False	0.689473684211	0.698324022346	0.545454545455	0.122481664009
PC3	4	91	False	0.668421052632	0.689265536723	0.384615384615	0.0401276115494
PC3	0	96	False	0.668421052632	0.691428571429	0.4	0.0530394835305
PC3	1	96	False	0.678947368421	0.697142857143	0.466666666667	0.0950290746589
PC3	2	96	False	0.684210526316	0.696629213483	0.5	0.102896680607
PC3	3	96	False	0.689473684211	0.702857142857	0.533333333333	0.137018665787
PC3	4	96	False	0.668421052632	0.689265536723	0.384615384615	0.0401276115494
